DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Priestley 0.6692047963329316
2. Witherspoon 0.314199583408794
3. Dickinson 0.0034385148110663024
4. Rush 0.0033324156849828916
5. Cartwright 0.002058219658975167
6. Francis 0.0012736054103245507
7. Burke 0.0012247149561932817
8. Wilkes 6.344934167717398E-4
9. Moore 5.115735526324875E-4
10. Lafayette 4.99860177140455E-4
11. Adams 4.966159993426828E-4
12. Benezet 4.362418147045193E-4
13. Spence 3.76419658338552E-4
14. Mackintosh 3.3535937149274317E-4
15. Franklin 2.7760453168592595E-4
16. Woolman 2.3951307555875392E-4
17. Burgh 9.009838359225056E-5
18. Wesley 8.564825592148061E-5
19. Ogilvie 6.942872901346246E-5
20. Price 2.1788639408876302E-5
21. Hopkins 6.986800838834336E-6
22. Wollstonecraft 5.789679803888596E-6
23. Macauley 2.5623986399702827E-6
24. Jefferson 5.631395605819657E-7
25. Cassandra 2.2179927567929938E-7
26. Paine 8.459233283448448E-9
27. Hopkinson 7.01029543166654E-10


