DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
11. Lafayette 3.069232730288911E-4
12. Franklin 2.4370348144054656E-4
13. Paine 1.4006447985810832E-4
14. Wilkes 1.266410691106784E-4
15. Moore 9.997771395735252E-5
16. Hopkins 7.594894855272642E-5
17. Adams 7.583670851724564E-5
18. Jefferson 4.4556027000092136E-5
19. Wollstonecraft 3.500119735874758E-5
20. Macauley 1.3982302954887831E-5
21. Ogilvie 1.3868414492684385E-5
22. Dickinson 1.1115717350535015E-5
23. Cartwright 5.84480336919495E-6
24. Spence 3.087495654590653E-6
25. Cassandra 1.3089109801636566E-6
26. Woolman 1.2245819350332449E-6
27. Hopkinson 3.074806770153489E-9


